,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2016,9394220363000,791208293000,0,6768206227000,1789466577000,45339266000,43369249238000,6350659266000,10017094697000,3510539222000,17983864412000,877887933000,1588295108000,3040908600000,52763469601000,36113695179000,12726074032000,23387621147000,16649774422000,16649774422000,0,52763469601000
2017,8815052625000,141473491000,0,7481808506000,1118852515000,72918113000,44247075031000,8887895570000,9921066056000,3210064249000,17750120892000,857860420000,1081429548000,2538638296000,53062127656000,35274154978000,12378346271000,22895808707000,17787972678000,17787972678000,0,53062127656000
2018,6567906781000,337736719000,0,4747120864000,1397223406000,85825792000,41543534835000,6531099389000,10732352612000,37104803000,16910792900000,2788206391000,1322831892000,3221146848000,48111441616000,31300554930000,13136735456000,18163819474000,16810886686000,16810886686000,0,48111441616000
2019,7073675026000,254431616000,0,4569330218000,2201556690000,48356502000,31558812063000,8261530824000,10280435755000,67867999000,11229762864000,284237784000,456105268000,978871569000,38632487089000,21823683301000,8089793475000,13733889826000,16808803788000,16808803788000,0,38632487089000
2020,8930375455000,97151198000,0,6410638635000,2347965565000,74620057000,28335444096000,2295094417000,12626270334000,65237146000,12006780151000,277318516000,439121101000,625622431000,37265819551000,27238024092000,15428980447000,11809043645000,10027795459000,10027795459000,0,37265819551000
2021,7051853577000,78298037000,0,6535652693000,410031564000,27871283000,11387831414000,2958712989000,2809669569000,62606294000,3495149075000,1778826680000,282866807000,0,18439684991000,13766451651000,6754505795000,7011945856000,4673233340000,4673233340000,0,18439684991000
2022,8038560913000,72372525000,0,6765361545000,1148037609000,52789234000,11759826640000,2430132241000,3821150484000,59975442000,4620301248000,441689596000,386577629000,0,19798387553000,14603644212000,9218063487000,5385580725000,5194743341000,5194743341000,0,19798387553000
2023,8768525586000,41812548000,0,7780210370000,928718695000,17783973000,12134729704000,495190422000,5997879680000,36187721000,4824942853000,492019500000,288509528000,0,20903255290000,14225785185000,9710404280000,4515380905000,6677470105000,6677470105000,0,20903255290000
