,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2019,1111580805021,43233704656,12912295740,833716099894,220602838433,1115866298,301775568171,181700000,81023827337,2439124331,341791885,214300712759,3488411859,0,1413356373192,589770160871,562902909447,26867251424,823586212321,823586212321,0,1413356373192
2020,1205815319102,305194698884,23922295740,643216523353,232086855136,1394945989,292342684894,181700000,66946209283,8038288648,246601885,213155316940,3774568138,0,1498158003996,644865449194,635692672512,9172776682,853292554802,853292554802,0,1498158003996
2021,878345287612,154654621594,27245487699,556366668916,138755044899,1323464504,266981070897,181700000,10808666196,8038288648,246601885,244355714848,3350099320,0,1145326358509,276940734187,267967072454,8973661733,868385624322,868385624322,0,1145326358509
2022,821003580348,72857962923,83288003000,535120948675,123929814709,5806851041,323872201017,6052500000,69610424937,5568361635,1082965521,234876137896,6681811028,0,1144875781365,233436735540,224393950817,9042784723,911439045825,911439045825,0,1144875781365
2023,1214117529930,186196786544,104620407487,809414896009,108831975292,5053464598,606996536132,63114765957,89960658765,8420642762,1568938941,120839462375,323092067332,0,1821114066062,668957131977,584576962684,84380169293,1152156934085,1152156934085,0,1821114066062
