,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2016,16491882437206,2802422910160,0,4615635775596,8475032237345,598791514105,21028863345245,100386460732,3261633710933,1918970179376,4453581454272,10541691385994,55829264370,696770889568,37520745782451,27971803635341,26828479016702,1143324618639,9548942147110,9548942147110,0,37520745782451
2017,44421050167080,1561577770818,0,24774715203806,17006259676992,1078497515464,6882768858975,87738322397,1355894476327,163038247202,2462055543041,1754972107124,432258844417,626811318467,51303819026055,41180033529612,34223057193372,6956976336240,10123785496443,48144874986968,0,51303819026055
2018,91202543545647,3515372453072,1009404569232,43356143612198,36858428958296,6463193952849,28486212922051,213789123875,128187004268,5828905860211,18363034037803,478312164507,2393201356358,1080783375029,119688756467698,71543881480730,42872273594509,28671607886221,48144874986968,48144874986968,0,119688756467698
2019,139555054000000,13332299000000,360611000000,47467976000000,60296848000000,18097320000000,57685974000000,8114996000000,690347000000,6626630000000,28212527000000,773312000000,12313981000000,954181000000,197241028000000,132525985000000,121556854000000,10969131000000,64715043000000,64715043000000,0,197241028000000
2020,102312109000000,13713651000000,2054219000000,34592470000000,42983662000000,8968107000000,113014268000000,11084368000000,5906615000000,8699597000000,32361351000000,9755842000000,42527256000000,2679239000000,215326377000000,126196462000000,103385277000000,22811185000000,89129915000000,89129915000000,0,215326377000000
2021,94437005000000,4625760000000,4979444000000,37750127000000,28578815000000,18502859000000,136079466000000,14955143000000,7497824000000,12078894000000,45032886000000,10940392000000,44163998000000,1410329000000,230516471000000,99109060000000,75400658000000,23708402000000,131407411000000,131407411000000,0,230516471000000
2022,196535229000000,10816783000000,6296725000000,96208736000000,64362407000000,18850578000000,165277418000000,22797226000000,9339806000000,15523727000000,50683336000000,7491325000000,58238089000000,1203909000000,361812647000000,213290804000000,187762383000000,25528421000000,148521843000000,148521843000000,0,361812647000000
2023,242340589000000,14103181000000,3833948000000,132871090000000,55317712000000,36214658000000,202290086000000,33800118000000,11671412000000,17036905000000,60790104000000,7760265000000,70595131000000,636151000000,444630675000000,261994369000000,211073231000000,50921138000000,182636306000000,182636306000000,0,444630675000000
