,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2018,3578662494754,6044496013,55535464200,3110274272660,405763883815,1044378066,124269793626,42425400000,45874625862,1065760712,0,1729875000,33174132052,0,3702932288380,3596130872456,3536280872456,59850000000,106801415924,106801415924,0,3702932288380
2019,6036290815466,29482879719,11130000000,5088527426607,906937193285,213315855,301439541719,84969400000,45054464627,15175990712,111473100000,14983824894,29782761486,0,6337730357185,6217968736522,5966522553367,251446183155,119761620663,119761620663,0,6337730357185
2020,4665386022190,68075924740,17000000000,3583378328039,989390585293,7541184118,580446573650,91985367223,213768283403,15175990712,117655343850,34624187416,103394262081,3843138965,5245832595840,4680244176971,4615926176012,64318000959,565588418869,565588418869,0,5245832595840
2021,4310728812243,290885247960,57182666667,2863419419902,1087718158115,11523319599,1146517198200,99020809256,541169343321,14912916682,248201967791,63274638996,175676820790,4260701364,5457246010443,4002427538977,3851377414740,151050124237,1454818471466,1454818471466,0,5457246010443
2022,2662699738155,151374475776,100000000000,1502476580095,881821214156,27027468128,2066396354761,81702014200,1096100694563,14649842650,353356265502,29505972462,488165713028,2915852356,4729096092916,2986428033002,2291719028034,694709004968,1742668059914,1742668059914,0,4729096092916
2023,3148011679041,95165075409,326525000000,1105065760580,1592961230786,28294612266,3385649016789,120476649201,1617376013205,0,901789996097,0,743469451980,2536906306,6533660695830,4625338672211,3011074968540,1614263703671,1908322023619,1908322023619,0,6533660695830
